"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"226","69","KEGG Pathways","","Thermogenesis","3.02E-11","NDUFB4|UQCRC1|NDUFB7|COX6A1|NDUFS7|NDUFA2|NDUFA10|COX5B|NDUFB5|NDUFAF1|NDUFS3|SDHA|NDUFA9|UQCRC2|NDUFB10|NDUFS6|NDUFC2|NDUFS4|NDUFB8|NDUFA7|UQCRFS1|RPS6KB2|UQCRH|NDUFS8|CYC1|COX5A|COX8A|NDUFAF3|COX14|NDUFV2|CREB3L2|NDUFA12|UQCR10|NDUFA4|CREB3|ACSL5|SLC25A29|COA6|SDHC|NDUFS2|COX7A2|NDUFA1|BMP8B|NDUFS5|NDUFA8|SDHB|SDHD|NDUFAF5|COX7A2L|UQCRQ|NDUFB6|NDUFA11|NDUFS1|NDUFB3|HRAS|NDUFA3|NDUFB2|NDUFA13|COX6C|COA4|ACTG1|NDUFAB1|COX6B1|UQCR11|NDUFA6|NDUFB1|UQCRHL|COX7B|NDUFV1","532345","536535|535785|535827|536685|535740|536931|536004|536760|536799|536748|536868|535659|535671|536724|532881|536850|536808|536898|536835|536904|536754|559998|535746|536112|535626|536772|536562|536709|536592|535803|540771|536862|536784|536778|540777|542079|601026|536646|536043|536940|536664|536883|537363|533241|535698|536670|536697|536652|536544|533217|535728|536889|536823|533313|539490|536877|536856|536076|536766|540033|542007|536817|536733|536742|536844|536910|536622|536715|535848","9.88E-13","","hsa04714","1.051999305704285","0"
"49","25","KEGG Pathways","","N-Glycan biosynthesis","2.16E-7","RPN2|ALG5|DAD1|ALG1|SRD5A3|STT3B|RPN1|MGAT2|B4GALT2|DPM2|MGAT1|GANAB|MGAT3|FUT8|DPM3|MAN1A1|ALG14|MAN1B1|STT3A|ALG3|DPAGT1|DDOST|MOGS|ALG2|B4GALT3","532345","549351|534519|539199|539037|555492|537015|536970|533157|553446|546627|559188|542178|590433|580779|555552|535197|555033|533103|534543|536958|538986|533073|532842|535176|535209","7.72E-9","","hsa00510","0.6665546248849069","0"
"116","38","KEGG Pathways","","Carbon metabolism","6.76E-7","ACO2|IDH3G|TPI1|EHHADH|MCEE|SDHA|ACAT1|DLAT|ADH5|PDHB|ACSS1|SHMT1|GCSH|PKM|TALDO1|MDH2|IDH2|GPT2|HIBCH|FH|SDHC|ECHS1|PGAM1|PGK1|SDHB|SDHD|PCCA|IDNK|PSAT1|GLDC|SUCLG1|GAPDH|GLYCTK|TKT|GPI|PCCB|PHGDH|ENO1","532345","537342|535683|538044|535908|547068|535659|535812|538098|545658|533022|537300|542031|551634|534204|537843|535821|537984|541953|535776|537321|536043|535932|537825|534360|536670|536697|537357|597270|543276|542145|536574|533205|535287|540111|538017|537309|541608|534228","2.62E-8","","hsa01200","0.6170053304058365","0"
"23","17","KEGG Pathways","","Protein export","9.33E-7","SEC61B|SPCS1|SEC61A1|SPCS2|IMMP1L|SRP68|HSPA5|SRPRA|SEC63|SEC61G|SRPRB|SRP19|SPCS3|SRP54|SEC11A|SEC11C|SRP72","532345","534681|536976|534675|549300|546576|540999|533967|540972|532983|536991|535998|540984|549279|534537|540201|549273|549258","3.89E-8","","hsa03060","0.60301183562535","0"
"135","39","KEGG Pathways","","Spinocerebellar ataxia","6.05E-6","PSMA4|PSMC4|PSMD8|XBP1|PSMA3|PSMD7|PIK3R2|PSMA2|ATXN10|PSMB7|PSMC1|PSMA6|PSMD11|WIPI1|PSMB1|GRIN2D|PSMD3|PSMB6|PSMA5|SLC25A4|PSMB4|ITPR1|PSMD1|PSMD2|PSMC5|PSMB5|PSMD4|PSMA7|PSMB2|VDAC1|PSMD14|PSMC2|ERN1|VDAC3|ATP2A2|PSMD9|ADRM1|PSMC3|PSMB3","532345","533178|533769|533625|533790|533637|533691|539421|533739|562806|533733|533643|533703|533781|540990|533697|574026|533619|533709|533679|538131|533715|540795|533667|533685|533775|533721|533745|533757|533673|536550|533655|533751|534531|538053|536526|533493|533571|533763|533631","2.7E-7","","hsa05017","0.5218244625347531","0"
"142","40","KEGG Pathways","","Retrograde endocannabinoid signaling","6.96E-6","NDUFB4|NDUFB7|GNB4|NDUFS7|GNG11|NDUFA2|NDUFA10|NDUFB5|NDUFS3|NDUFA9|NDUFB10|NDUFS6|NDUFC2|NDUFS4|NDUFB8|NDUFA7|GNB2|ITPR1|GNAI2|NDUFS8|NDUFV2|NDUFA12|NDUFA4|NDUFS2|GNG5|NDUFA1|NDUFS5|NDUFA8|NDUFB6|GABRR2|NDUFA11|NDUFS1|NDUFB3|NDUFA3|NDUFB2|NDUFA13|NDUFAB1|NDUFA6|NDUFB1|NDUFV1","532345","536535|535827|547878|535740|547890|536931|536004|536799|536868|535671|532881|536850|536808|536898|536835|536904|547899|540795|547908|536112|535803|536862|536778|536940|541509|536883|533241|535698|535728|640092|536889|536823|533313|536877|536856|536076|536817|536844|536910|535848","3.31E-7","","hsa04723","0.5157390760389438","0"
"38","18","KEGG Pathways","","Various types of N-glycan biosynthesis","4.29E-5","RPN2|DAD1|HEXB|ALG1|STT3B|RPN1|MGAT2|B4GALT2|MGAT1|FUT8|MAN1A1|ALG14|MAN1B1|STT3A|ALG3|DDOST|ALG2|B4GALT3","532345","549351|539199|559161|539037|537015|536970|533157|553446|559188|580779|535197|555033|533103|534543|536958|533073|535176|535209","2.17E-6","","hsa00513","0.4367542707815276","0"
"131","35","KEGG Pathways","","Ribosome","8.88E-5","MRPL32|MRPL27|MRPS7|MRPL34|MRPS9|MRPL15|MRPS5|MRPL16|MRPL13|MRPL4|MRPL11|MRPL1|MRPS11|RPS27L|MRPL12|MRPL35|MRPL20|MRPL24|MRPL21|MRPL18|MRPL9|MRPS2|MRPS18A|MRPS16|MRPS15|MRPL19|MRPL23|MRPS6|MRPS12|MRPS14|MRPL36|RPL26L1|MRPL22|MRPS21|MRPL28","532345","536235|536265|536451|536259|536415|536205|536457|536271|536343|536355|536325|536295|536427|532944|535734|536223|536289|536277|536313|536187|536199|536493|536391|536499|536475|534390|536361|536436|534120|536481|536337|536142|533469|534165|536307","4.76E-6","","hsa03010","0.4051587034221399","0"
"120","32","KEGG Pathways","","Cell cycle","2.2E-4","CDC6|RBX1|MDM2|ANAPC5|MCM4|PKMYT1|CCNE1|CDKN2C|YWHAE|MCM2|RB1|CCNB2|PLK1|BUB1|CDC25A|YWHAG|CDC25C|E2F1|CDC16|E2F2|GADD45A|CDC20|CDC26|TFDP1|PCNA|PTTG1|CDK1|CHEK1|WEE1|CDKN2A|CCNE2|CCNA2","532345","533337|533532|540744|533445|534816|535332|533271|565386|541248|534927|538662|534951|535125|535023|533247|541266|534975|538866|533406|538713|543972|533373|533265|538728|535269|534897|535011|535500|538746|534156|533223|533349","1.23E-5","","hsa04110","0.3657577319177794","0"
"46","17","KEGG Pathways","","Valine, leucine and isoleucine degradation","9.0E-4","HSD17B10|OXCT1|EHHADH|MCEE|ACAT1|BCKDHA|ACAA2|AACS|HADHB|ACAA1|ALDH3A2|ALDH9A1|HIBCH|ECHS1|OXCT2|PCCA|PCCB","532345","535638|537276|535908|547068|535812|537330|535926|537399|535920|535914|546117|547098|535776|535932|537408|537357|537309","5.37E-5","","hsa00280","0.30457574905606755","0"
"28","13","KEGG Pathways","","Citrate cycle (TCA cycle)","0.001","ACO2|PCK2|IDH3G|SDHA|DLAT|PDHB|MDH2|IDH2|FH|SDHC|SDHB|SDHD|SUCLG1","532345","537342|542157|535683|535659|538098|533022|535821|537984|537321|536043|536670|536697|536574","6.54E-5","","hsa00020","0.3","0"
"28","13","KEGG Pathways","","Glyoxylate and dicarboxylate metabolism","0.001","ACO2|MCEE|ACAT1|GRHPR|ACSS1|SHMT1|GCSH|MDH2|AFMID|PCCA|GLDC|GLYCTK|PCCB","532345","537342|547068|535812|542046|537300|542031|551634|535821|543309|537357|542145|535287|537309","6.54E-5","","hsa00630","0.3","0"
"46","16","KEGG Pathways","","Amino sugar and nucleotide sugar metabolism","0.0023","NANS|GNPNAT1|GALK1|HEXB|PMM2|UAP1|MPI|UGDH|GFPT1|GMPPA|CHIA|GMDS|PGM2|TSTA3|GPI|GALE","532345","538971|542583|535689|559161|539031|539055|549600|539013|539007|539067|537879|538998|541974|542601|538017|539061","1.6E-4","","hsa00520","0.2638272163982407","0"
"72","20","KEGG Pathways","","p53 signaling pathway","0.0045","CD82|TP53I3|RRM2B|MDM2|CCNE1|CCNB2|CASP3|BID|RRM2|GADD45A|IGF1|CDK1|CHEK1|SESN1|PERP|BBC3|GTSE1|CDKN2A|CCNE2|AIFM2","532345","551103|555306|538494|540744|533271|534951|539415|541119|534837|543972|534084|535011|535500|541806|565362|541140|533295|534156|533223|548775","3.2E-4","","hsa04115","0.23467874862246565","0"
"73","20","KEGG Pathways","","Biosynthesis of amino acids","0.005","ACO2|IDH3G|TPI1|NAGS|ASL|SHMT1|PKM|TALDO1|IDH2|GPT2|PGAM1|ALDH18A1|PGK1|PSAT1|ASNS|GAPDH|PYCR1|TKT|PHGDH|ENO1","532345","537342|535683|538044|554808|538899|542031|534204|537843|537984|541953|537825|535647|534360|543276|540822|533205|547545|540111|541608|534228","3.7E-4","","hsa01230","0.23010299956639813","0"
"64","18","KEGG Pathways","","Glycolysis / Gluconeogenesis","0.0071","PCK2|TPI1|G6PC3|DLAT|ADH5|PDHB|ACSS1|PKM|ALDH3A2|ALDH9A1|PGAM1|AKR1A1|PGK1|PGM2|GAPDH|GPI|LDHA|ENO1","532345","542157|538044|543303|538098|545658|533022|537300|534204|546117|547098|537825|552120|534360|541974|533205|538017|537942|534228","5.5E-4","","hsa00010","0.21487416512809246","0"
"33","12","KEGG Pathways","","Propanoate metabolism","0.0092","EHHADH|MCEE|ACAT1|BCKDHA|ACSS1|HIBCH|ECHS1|PCCA|SUCLG1|PCCB|ECHDC1|LDHA","532345","535908|547068|535812|537330|537300|535776|535932|537357|536574|537309|535860|537942","7.4E-4","","hsa00640","0.2036212172654445","0"
"44","14","KEGG Pathways","","Aminoacyl-tRNA biosynthesis","0.0099","AARS1|MARS1|QARS1|FARS2|FARSA|KARS1|WARS1|EPRS1|RARS2|SARS1|YARS1|VARS1|VARS2|EARS2","532345","537168|542835|548382|548820|538947|533289|543387|537465|538914|545847|537498|535989|548298|540546","8.2E-4","","hsa00970","0.200436480540245","0"
"20","9","KEGG Pathways","","One carbon pool by folate","0.012","ATIC|ALDH1L2|TYMS|SHMT1|GART|MTHFD2|DHFR|MTHFD1L|MTHFD1","532345","538470|552102|535458|542031|536064|544941|538638|544929|541959","0.001","","hsa00670","0.19208187539523752","0"
"87","21","KEGG Pathways","","Cardiac muscle contraction","0.0123","UQCRC1|COX6A1|COX5B|UQCRC2|UQCRFS1|UQCRH|CYC1|COX5A|COX8A|UQCR10|ATP1B1|COX7A2|COX7A2L|UQCRQ|COX6C|ATP2A2|COX6B1|UQCR11|SLC9A7|UQCRHL|COX7B","532345","535785|536685|536760|536724|536754|535746|535626|536772|536562|536784|550953|536664|536544|533217|536766|536526|536733|536742|579903|536622|536715","0.0011","","hsa04260","0.19100948885606023","0"
"121","26","KEGG Pathways","","Oocyte meiosis","0.0143","RBX1|AURKA|FBXO5|ANAPC5|PKMYT1|CCNE1|YWHAE|CCNB2|PLK1|BUB1|ITPR1|YWHAG|CDC25C|PPP2R1A|PPP1CA|PPP1CC|CDC16|CDC20|CDC26|IGF1|PTTG1|PPP3CB|CDK1|PPP3CC|CALML4|CCNE2","532345","533532|533307|533283|533445|535332|533271|541248|534951|535125|535023|540795|541266|534975|537921|532653|532659|533406|533373|533265|534084|534897|542547|535011|542541|539484|533223","0.0013","","hsa04114","0.18446639625349381","0"
"36","12","KEGG Pathways","","Pyruvate metabolism","0.0144","PCK2|ACAT1|DLAT|PDHB|GRHPR|ACSS1|PKM|MDH2|ALDH3A2|ALDH9A1|FH|LDHA","532345","542157|535812|538098|533022|542046|537300|534204|535821|546117|547098|537321|537942","0.0014","","hsa00620","0.18416375079047503","0"
"150","30","KEGG Pathways","","Cellular senescence","0.0161","MYBL2|PIK3R2|MDM2|CCNE1|MAP2K2|RB1|SLC25A4|CCNB2|CAPN2|CDC25A|ITPR1|PPP1CA|PPP1CC|E2F1|E2F2|GADD45A|RBBP4|PPP3CB|VDAC1|CDK1|NFATC2|PPP3CC|CHEK1|HRAS|CDKN2A|CALML4|VDAC3|CCNE2|LIN52|CCNA2","532345","535365|539421|540744|533271|546759|538662|538131|534951|583410|533247|540795|532653|532659|538866|538713|543972|538656|542547|536550|535011|545649|542541|535500|539490|534156|539484|538053|533223|538623|533349","0.0016","","hsa04218","0.17931741239681503","0"
"192","35","KEGG Pathways","","Epstein-Barr virus infection","0.0267","PSMC4|PSMD8|PSMD7|PIK3R2|MDM2|PSMC1|PSMD11|CCNE1|FCER2|PSMD3|RB1|PDIA3|FADD|PSMD1|PSMD2|PSMC5|CASP3|BID|CALR|OAS2|IFNAR2|E2F1|TAP1|E2F2|PSMD4|GADD45A|BAK1|SYK|PSMD14|OAS1|PSMC2|CCNE2|ADRM1|PSMC3|CCNA2","532345","533769|533625|533691|539421|540744|533643|533781|533271|548427|533619|538662|533979|546267|533667|533685|533775|539415|541119|533991|550773|551223|538866|543417|538713|533745|543972|540789|546714|533655|550767|533751|533223|533571|533763|533349","0.0027","","hsa05169","0.1573488738635425","0"
"42","12","KEGG Pathways","","Fatty acid degradation","0.0382","EHHADH|ACAT1|ACAA2|ADH5|ECI1|HADHB|ACAA1|ALDH3A2|ALDH9A1|ACSL5|ECHS1|ACADVL","532345","535908|535812|535926|545658|535875|535920|535914|546117|547098|542079|535932|537348","0.004","","hsa00071","0.14179366370882912","0"
"134","26","KEGG Pathways","","Ubiquitin mediated proteolysis","0.0413","RBX1|STUB1|UBE2M|MDM2|UBE2K|ANAPC5|ERCC8|SAE1|UBE2Q1|DDB1|UBE2E1|UBA1|UBE2I|CDC16|UBE2C|UBE2A|CDC20|CDC26|SYVN1|KEAP1|UBE2G1|UBE2QL1|RHOBTB2|UBE2J1|FBXW7|UBB","532345","533532|532563|534321|540744|534315|533445|541893|557349|546261|533028|533052|534195|540873|533406|533424|539082|533373|533265|534735|533457|541836|587106|545130|534708|533478|533562","0.0044","","hsa04120","0.1384049948343599","0"
